-1.143955,.7226413,.3689731,37.40555,39.03284,33.53282,2,0,1,0
.5041339,.111364,.5203185,52.76078,51.99504,65.22504,2,0,1,0
1.628546,.6299338,.4368382,59.77192,54.65165,64.6045,2,0,1,0
.3680964,-.1385281,-.004324,42.85432,41.12136,48.49381,3,0,0,1
-.2801896,-.4522264,1.256924,54.75628,49.94721,50.38166,2,0,1,0
1.066716,.6229352,1.355576,56.5918,58.27413,61.51582,2,0,1,0
-.0455988,.2887751,1.758428,57.26575,56.80764,66.11026,2,0,1,0
-1.009135,.4035649,.2776515,43.00175,53.44386,57.37268,2,0,1,0
-.203058,-1.647125,.0088297,58.39013,53.61174,43.86207,2,0,1,0
.6492352,.6299932,.2072111,47.46682,47.27131,43.83617,3,0,0,1
1.225508,-.6549536,-.3944585,57.28268,63.08307,57.82922,2,0,1,0
-.7500962,-.9947717,1.341183,57.37653,60.1262,48.64468,1,1,0,0
1.004181,.2489636,.3076809,45.12582,42.85443,50.47225,2,0,1,0
.6139908,-1.751172,-.1181109,47.86945,50.19226,51.65434,1,1,0,0
.7058846,-.5745994,.4167483,49.55196,43.078,52.45048,3,0,0,1
-.6091973,-1.379228,-.2619791,53.71397,56.31578,43.69614,2,0,1,0
1.14217,.6720943,.4291491,51.12276,57.03072,52.678,3,0,0,1
-1.233362,-.9006096,-.6769071,45.25164,39.83403,38.13485,1,1,0,0
1.35117,-.8156343,-.5673103,44.99442,57.6189,55.65072,1,1,0,0
-.181009,-.6118405,.6964706,55.23143,37.19624,51.92538,3,0,0,1
-.4613788,1.346367,.569908,48.31693,53.52367,46.62342,2,0,1,0
.5345241,-.5726522,.1323527,67.73677,66.04089,64.32419,3,0,0,1
.0954385,-.1743966,-.0432441,50.31593,60.41117,50.31065,2,0,1,0
.4908478,.4832311,.0015749,47.47101,38.15947,50.21306,2,0,1,0
.9949548,-.4327542,.2754097,72.61959,69.91948,70.34943,2,0,1,0
1.255287,.1109407,.135321,57.28802,54.22253,61.35866,2,0,1,0
.25135,.7308084,1.299474,54.72924,56.95903,35.76931,3,0,0,1
-.3475738,-.6304505,-1.976017,31.09327,44.92495,39.77386,1,1,0,0
1.117719,.0510423,.7446436,63.35926,62.89007,61.37509,2,0,1,0
-.2694051,-.8060372,.999934,55.62704,63.06123,58.34221,2,0,1,0
